direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,1538,1548,1.1785769713399228,1.1783260714285713,0.9400000000000001,-23.584591667042965,19.740000000000002,-29.224591667042965,SL,MomentumStrategy,1,newyork
BUY,5833,5837,1.1604262505377612,1.160142142857143,0.92,-26.137906616869877,19.32,-31.657906616869877,SL,MomentumStrategy,1,newyork
BUY,17989,17997,1.1448687514659184,1.1448271428571428,1.99,-8.2801131463357,41.79,-20.2201131463357,SL,MeanReversionStrategy,0,asian
