direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,788,795,1.180426971339923,1.1803289285714285,1.25,-12.255346061806893,26.25,-19.755346061806893,SL,MomentumStrategy,0,london
BUY,844,856,1.1797762505377611,1.1796875,1.25,-11.093817220142466,26.25,-18.593817220142466,SL,MomentumStrategy,0,london
SELL,997,1004,1.1804312485340815,1.180472857142857,1.25,-5.201076096944535,26.25,-12.701076096944535,SL,MomentumStrategy,0,newyork
BUY,1072,1074,1.1811961605369075,1.1811099999999999,1.24,-10.683906576539393,26.04,-18.12390657653939,SL,MomentumStrategy,0,newyork
SELL,1075,1082,1.1811581764392918,1.1806357142857142,1.24,64.78530704361506,26.04,57.345307043615065,SL,MomentumStrategy,0,newyork
BUY,1246,1250,1.1794888349743713,1.1790596428571427,1.25,-53.649014653572856,26.25,-61.149014653572856,SL,MomentumStrategy,0,newyork
BUY,1252,1259,1.1791796089783853,1.1787932142857143,1.24,-47.91294189120254,26.04,-55.35294189120254,SL,MomentumStrategy,0,newyork
BUY,1264,1278,1.1789593469416315,1.1789935714285715,1.23,4.209611893621901,25.83,-3.170388106378099,SL,MomentumStrategy,0,newyork
BUY,1294,1301,1.1785060960909843,1.177908214285714,0.93,-55.6030078901395,19.53,-61.1830078901395,SL,MomentumStrategy,1,newyork
BUY,1304,1311,1.177876489860972,1.177787857142857,0.92,-8.154210066568801,19.32,-13.6742100665688,SL,MomentumStrategy,1,newyork
SELL,1372,1377,1.1783840681012596,1.1787003571428571,0.86,-27.20085757738744,18.060000000000002,-32.360857577387435,SL,MomentumStrategy,1,newyork
BUY,2222,2232,1.1811302677644053,1.1809278571428572,1.22,-24.694095828872165,25.62,-32.014095828872165,SL,MomentumStrategy,0,london
BUY,2284,2287,1.1802063267984844,1.1802439285714283,0.91,3.421761337902618,19.11,-2.038238662097382,SL,MomentumStrategy,1,london
BUY,2291,2321,1.1797549418825344,1.18019,0.91,39.59028868937797,19.11,34.13028868937797,EOD,MomentumStrategy,1,london
BUY,2445,2454,1.180757494221889,1.1805917857142856,1.22,-20.2164379276204,25.62,-27.5364379276204,SL,MomentumStrategy,0,newyork
BUY,2456,2458,1.1807622470740302,1.1803714285714286,1.22,-47.67985731739355,25.62,-54.99985731739355,SL,MomentumStrategy,0,newyork
SELL,2629,2632,1.1810039779688979,1.181564642857143,0.91,-51.020504830296964,19.11,-56.480504830296965,SL,MomentumStrategy,1,newyork
SELL,2633,2637,1.1815255367158062,1.1813660714285714,0.9,14.351875851128515,18.9,8.951875851128515,SL,MomentumStrategy,1,newyork
