direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,710,718,1.1802469713399228,1.1798917857142859,1.25,-44.39820320462084,26.25,-51.89820320462084,SL,MomentumStrategy,0,london
BUY,977,979,1.181186250537761,1.1811099999999999,1.24,-9.455066682384938,26.04,-16.895066682384936,SL,MomentumStrategy,0,newyork
SELL,1034,1043,1.1808912485340815,1.1809635714285716,1.24,-8.968038916773224,26.04,-16.408038916773222,SL,MomentumStrategy,0,newyork
BUY,1159,1164,1.1790161605369076,1.1787932142857143,1.24,-27.645335147974848,26.04,-35.085335147974845,SL,MomentumStrategy,0,newyork
SELL,1180,1210,1.1790781764392917,1.1775899999999997,1.23,183.04570203291593,25.83,175.66570203291593,TP,MomentumStrategy,0,newyork
SELL,2654,2682,1.1822211650256287,1.1817525,1.26,59.05179322921628,26.46,51.49179322921628,SL,MomentumStrategy,0,newyork
SELL,7032,7039,1.1625903910216147,1.162692857142857,1.26,-12.910731276531973,26.46,-20.47073127653197,SL,MomentumStrategy,0,newyork
SELL,12586,12595,1.1637206530583684,1.164023214285714,0.9500000000000001,-28.743316597844572,19.950000000000003,-34.44331659784457,SL,MomentumStrategy,1,newyork
SELL,13533,13538,1.1634939039090157,1.1637732142857142,1.26,-35.19310746400883,26.46,-42.753107464008835,SL,MomentumStrategy,0,london
BUY,15125,15130,1.154636489860972,1.1547225,1.25,10.751267378511509,26.25,3.2512673785115087,SL,MomentumStrategy,0,london
BUY,15137,15144,1.1545159318987404,1.1544935714285716,1.25,-2.7950587710989794,26.25,-10.29505877109898,SL,MomentumStrategy,0,london
BUY,15671,15678,1.1523002677644054,1.1520350000000001,0.9400000000000001,-24.93516985409583,19.740000000000002,-30.57516985409583,SL,MomentumStrategy,1,newyork
BUY,17728,17736,1.1448563267984841,1.1448271428571428,1.99,-5.807604326923954,41.79,-17.747604326923955,SL,MeanReversionStrategy,0,asian
SELL,17895,17901,1.1429250581174657,1.1432103571428571,1.24,-35.37707914853705,26.04,-42.81707914853705,SL,MomentumStrategy,0,london
SELL,17904,17911,1.143232505778111,1.1434264285714286,1.24,-24.046426371388208,26.04,-31.486426371388205,SL,MomentumStrategy,0,london
SELL,17913,17928,1.1431577529259698,1.1427039285714284,1.23,55.82039560858387,25.83,48.44039560858387,SL,MomentumStrategy,0,london
