direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,1009,1011,1.1812169713399228,1.1811099999999999,1.25,-13.37141749035986,26.25,-20.87141749035986,SL,MomentumStrategy,0,newyork
BUY,1191,1196,1.1790062505377612,1.1787932142857143,1.25,-26.629531505867334,26.25,-34.129531505867334,SL,MomentumStrategy,0,newyork
SELL,12618,12627,1.1637112485340815,1.164023214285714,0.93,-29.012814901833163,19.53,-34.592814901833165,SL,MomentumStrategy,1,newyork
SELL,13565,13570,1.1635038394630925,1.1637732142857142,1.24,-33.402478005088554,26.04,-40.84247800508855,SL,MomentumStrategy,0,london
BUY,15148,15154,1.1550518235607083,1.1547014285714285,1.23,-43.098583681415505,25.83,-50.47858368141551,SL,MomentumStrategy,0,london
BUY,15156,15162,1.1547288349743712,1.1547225,1.23,-0.7792018476429075,25.83,-8.159201847642908,SL,MomentumStrategy,0,london
BUY,15703,15710,1.1523196089783854,1.1520350000000001,0.92,-26.184026011440764,19.32,-31.704026011440764,SL,MomentumStrategy,1,newyork
BUY,17760,17768,1.1448593469416315,1.1448271428571428,1.96,-6.312000559780095,41.16,-18.072000559780093,SL,MeanReversionStrategy,0,asian
SELL,17927,17933,1.1429139039090157,1.1432103571428571,1.22,-36.1672945286533,25.62,-43.4872945286533,SL,MomentumStrategy,0,london
SELL,17936,17943,1.143263510139028,1.1434264285714286,1.21,-19.713130320469173,25.409999999999997,-26.973130320469174,SL,MomentumStrategy,0,london
SELL,17945,17960,1.1431740681012597,1.1427039285714284,1.21,56.88688310957701,25.409999999999997,49.626883109577015,SL,MomentumStrategy,0,london
