direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
SELL,503,508,1.055543028660077,1.0565235714285715,0.42,-41.1827962767628,8.82,-43.702796276762804,SL,MeanReversionStrategy,1,asian
SELL,763,770,1.0605637494622389,1.0602789285714287,0.64,18.228537011850676,13.44,14.388537011850676,SL,MeanReversionStrategy,1,asian
BUY,919,921,1.0536087514659185,1.05244,0.46,-53.76256743224817,9.66,-56.52256743224817,SL,MomentumStrategy,2,newyork
BUY,985,987,1.0487061605369077,1.04855,0.51,-7.964187382287102,10.71,-11.024187382287103,SL,MomentumStrategy,1,london
BUY,1385,1390,1.0553018235607083,1.0541900000000002,0.5,-55.59117803540792,10.5,-58.59117803540792,SL,MomentumStrategy,2,newyork
SELL,1437,1442,1.056781165025629,1.0568978571428571,0.55,-6.418066447551053,11.55,-9.718066447551053,SL,MeanReversionStrategy,1,asian
SELL,1463,1470,1.0584003910216147,1.0578578571428574,0.62,33.63710048294921,13.02,29.91710048294921,SL,MeanReversionStrategy,0,asian
BUY,1580,1581,1.0520393469416316,1.0509600000000001,0.49,-52.88800013994233,10.29,-55.828000139942326,SL,MomentumStrategy,2,newyork
SELL,2211,2223,1.0534539039090156,1.05218,0.98,124.84258308354023,20.58,118.96258308354024,EOD,MeanReversionStrategy,0,asian
BUY,2428,2444,1.046706489860972,1.04981,0.59,183.10709820265126,12.39,179.56709820265127,TP,MomentumStrategy,1,london
BUY,2639,2649,1.0497159318987404,1.0497659318987405,0.51,2.5500000000053813,10.71,-0.5099999999946188,SL,MomentumStrategy,2,newyork
SELL,2686,2700,1.0498297322355947,1.0502675000000001,1.01,-44.21454420494597,21.21,-50.274544204945975,SL,MeanReversionStrategy,0,asian
SELL,2710,2724,1.0510436732015158,1.0498514285714284,0.81,96.5718150370778,17.01,91.7118150370778,SL,MeanReversionStrategy,0,asian
BUY,2808,2818,1.0399549418825345,1.0404989285714286,0.41000000000000003,22.303454244658294,8.61,19.843454244658293,SL,MomentumStrategy,1,london
BUY,3038,3041,1.0408974942218892,1.0397900000000002,0.51,-56.48220531633586,10.71,-59.54220531633586,SL,MomentumStrategy,2,newyork
BUY,3112,3117,1.0401222470740301,1.0392457142857143,1.01,-88.52981161989447,21.21,-94.58981161989448,SL,MomentumStrategy,0,newyork
SELL,3559,3571,1.0370539779688979,1.03617,0.41000000000000003,36.243096724811075,8.61,33.783096724811074,EOD,MeanReversionStrategy,1,asian
SELL,3671,3674,1.0279355367158063,1.0287582142857143,0.66,-54.2967196139319,13.86,-58.2567196139319,SL,MeanReversionStrategy,1,asian
BUY,4252,4255,1.0225054715228339,1.02128,0.45,-55.146218527526436,9.45,-57.84621852752644,SL,MomentumStrategy,2,london
BUY,4286,4297,1.020895324937984,1.0207689285714285,0.5,-6.319818327771287,10.5,-9.319818327771287,SL,MomentumStrategy,2,newyork
BUY,4849,4851,1.0373252909625916,1.0393599999999998,0.5,101.73545187041056,10.5,98.73545187041056,TP,MomentumStrategy,2,newyork
BUY,4852,4853,1.0394699069697495,1.0383600000000002,0.5,-55.495348487466515,10.5,-58.495348487466515,SL,MomentumStrategy,2,newyork
BUY,4854,4856,1.0387920125258259,1.0407,0.5,95.39937370870445,10.5,92.39937370870445,TP,MomentumStrategy,2,newyork
BUY,4858,4862,1.0401527739749907,1.04249,0.5,116.86130125045935,10.5,113.86130125045935,TP,MomentumStrategy,2,newyork
