direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,841,844,1.1755269713399228,1.1755107142857142,0.9400000000000001,-1.528163095608548,19.740000000000002,-7.1681630956085485,SL,MomentumStrategy,1,london
SELL,890,895,1.1761637494622388,1.1761096428571427,0.01,0.05410660509608256,0.21,-0.005893394903917437,SL,MomentumStrategy,2,london
BUY,968,977,1.1766287514659184,1.1765807142857143,0.9400000000000001,-4.515494939183018,19.740000000000002,-10.155494939183018,SL,MomentumStrategy,1,london
BUY,1104,1108,1.1768161605369076,1.1764742857142856,0.9400000000000001,-32.13623332647231,19.740000000000002,-37.77623332647231,SL,MomentumStrategy,1,newyork
BUY,1192,1206,1.1763118235607082,1.1758878571428573,0.01,-0.4239664178509184,0.21,-0.4839664178509184,SL,MomentumStrategy,2,newyork
SELL,1212,1227,1.1766411650256288,1.176399642857143,0.01,0.2415221684857194,0.21,0.1815221684857194,SL,MomentumStrategy,2,newyork
BUY,1328,1351,1.1786196089783854,1.1791817857142857,0.01,0.5621767359003105,0.21,0.5021767359003104,SL,MomentumStrategy,2,newyork
SELL,1391,1400,1.1779106530583685,1.1782253571428574,0.01,-0.31470408448885934,0.21,-0.37470408448885933,SL,MomentumStrategy,2,newyork
BUY,1515,1522,1.1788360960909843,1.1784953571428571,0.93,-31.68872217582397,19.53,-37.26872217582397,SL,MomentumStrategy,1,newyork
SELL,2172,2177,1.182053510139028,1.1818617857142857,1.98,37.961436098964626,41.58,26.081436098964627,SL,MeanReversionStrategy,0,asian
SELL,2587,2591,1.1780840681012597,1.177935357142857,0.93,13.830119131444718,19.53,8.250119131444718,SL,MomentumStrategy,1,newyork
BUY,2646,2658,1.1794602677644053,1.17955,0.93,8.345097910319232,19.53,2.7650979103192324,SL,MomentumStrategy,1,newyork
SELL,2697,2702,1.1800236732015157,1.1799792857142857,0.01,0.04438748723001318,0.21,-0.01561251276998682,SL,MomentumStrategy,2,newyork
BUY,2740,2745,1.1802149418825345,1.1802182142857145,0.88,0.28797147983894433,18.48,-4.992028520161056,SL,MomentumStrategy,1,newyork
BUY,2750,2760,1.179977494221889,1.1798939285714285,0.78,-6.5181207359210624,16.380000000000003,-11.198120735921062,SL,MomentumStrategy,1,newyork
SELL,2794,2799,1.1798277529259698,1.1801307142857145,0.01,-0.3029613597447245,0.21,-0.3629613597447245,SL,MomentumStrategy,2,newyork
BUY,2848,2856,1.180096022031102,1.1799775,0.88,-10.429938736992383,18.48,-15.709938736992385,SL,MomentumStrategy,1,newyork
SELL,2888,2891,1.1797455367158063,1.179944642857143,0.93,-18.516871144310223,19.53,-24.09687114431022,SL,MomentumStrategy,1,newyork
BUY,3675,3678,1.178045471522834,1.1777064285714285,1.24,-42.041325974270904,26.04,-49.4813259742709,SL,MomentumStrategy,0,london
SELL,3708,3726,1.178094675062016,1.177757857142857,0.01,0.3368179191589604,0.21,0.2768179191589604,SL,MomentumStrategy,2,london
BUY,3794,3807,1.1785952909625916,1.17871,0.92,10.553231441562616,19.32,5.033231441562616,SL,MomentumStrategy,1,london
SELL,4097,4112,1.1774600930302506,1.1770910714285714,0.92,33.94998735448418,19.32,28.42998735448418,SL,MomentumStrategy,1,newyork
SELL,4184,4186,1.176987987474174,1.1778799999999998,0.93,-82.95716490180173,19.53,-88.53716490180173,SL,MomentumStrategy,1,newyork
SELL,4187,4199,1.1779772260250092,1.1776446428571428,0.01,0.3325831678664404,0.21,0.2725831678664404,SL,MomentumStrategy,2,newyork
SELL,4315,4329,1.1785271393463896,1.1787053571428572,0.01,-0.1782177964675391,0.21,-0.2382177964675391,SL,MomentumStrategy,2,newyork
SELL,5556,5565,1.1780881702727444,1.1783417857142857,0.01,-0.25361544154134386,0.21,-0.31361544154134385,SL,MomentumStrategy,2,newyork
BUY,5597,5613,1.178899637292169,1.1796664285714287,0.87,66.71084129559523,18.27,61.49084129559523,SL,MomentumStrategy,1,newyork
BUY,5697,5701,1.1799898358188416,1.18032,0.92,30.375104666571673,19.32,24.855104666571673,SL,MomentumStrategy,1,newyork
SELL,7089,7111,1.1797326252816827,1.1790932142857142,0.01,0.6394109959684258,0.21,0.5794109959684257,SL,MomentumStrategy,2,newyork
SELL,7150,7180,1.1790848136984315,1.1775899999999997,0.93,139.01767395416223,19.53,133.43767395416222,TP,MomentumStrategy,1,newyork
SELL,7245,7252,1.1782746435863363,1.1786807142857143,0.01,-0.4060706993780361,0.21,-0.4660706993780361,SL,MomentumStrategy,2,newyork
BUY,8065,8078,1.1816714865893347,1.1814839285714287,0.01,-0.1875580179060421,0.21,-0.2475580179060421,SL,MomentumStrategy,2,london
BUY,8335,8342,1.1802718114045727,1.1800350000000002,0.9400000000000001,-22.260272029819284,19.740000000000002,-27.900272029819284,SL,MomentumStrategy,1,newyork
SELL,8416,8420,1.179306344211801,1.1799557142857142,0.01,-0.6493700739131912,0.21,-0.7093700739131912,SL,MomentumStrategy,2,newyork
SELL,8422,8426,1.1799360732811395,1.1802789285714286,0.01,-0.34285529028910133,0.21,-0.40285529028910133,SL,MomentumStrategy,2,newyork
BUY,8464,8466,1.1802426020315637,1.179699642857143,0.9400000000000001,-51.038162395557144,19.740000000000002,-56.678162395557145,SL,MomentumStrategy,1,newyork
SELL,8509,8512,1.1812335297667875,1.1813660714285714,0.01,-0.13254166178389148,0.21,-0.19254166178389148,SL,MomentumStrategy,2,newyork
BUY,8518,8548,1.1808259259876182,1.18183,0.01,1.0040740123817837,0.21,0.9440740123817837,EOD,MomentumStrategy,2,newyork
SELL,8623,8652,1.1820619146549844,1.1817525,0.01,0.3094146549844634,0.21,0.2494146549844634,SL,MomentumStrategy,2,newyork
SELL,9489,9517,1.171736132392737,1.1699799999999998,0.01,1.7561323927373085,0.21,1.6961323927373084,TP,MomentumStrategy,2,london
SELL,9529,9535,1.1708897714081892,1.1716253571428572,0.01,-0.7355857346680317,0.21,-0.7955857346680317,SL,MomentumStrategy,2,london
SELL,9879,9883,1.1714727087808172,1.1719342857142858,0.01,-0.4615769334685993,0.21,-0.5215769334685993,SL,MomentumStrategy,2,newyork
SELL,9993,10001,1.1680636050862174,1.1680217857142856,0.01,0.04181937193181717,0.21,-0.018180628068182825,SL,MomentumStrategy,2,newyork
SELL,10009,10019,1.16847053060182,1.1690025000000002,0.01,-0.531969398180232,0.21,-0.5919693981802321,SL,MomentumStrategy,2,newyork
SELL,10990,10994,1.1623610104011537,1.1628432142857144,0.01,-0.4822038845606613,0.21,-0.5422038845606614,SL,MomentumStrategy,2,london
BUY,11170,11180,1.1592266395443183,1.1598192857142857,0.01,0.592646169967459,0.21,0.532646169967459,SL,MomentumStrategy,2,newyork
SELL,11277,11285,1.1595999499285294,1.1595035714285715,0.01,0.09637849995791647,0.21,0.03637849995791648,SL,MomentumStrategy,2,newyork
SELL,11378,11383,1.1564311013198445,1.1574303571428572,0.01,-0.9992558230127457,0.21,-1.0592558230127458,SL,MomentumStrategy,2,newyork
BUY,11440,11446,1.1582867842222133,1.1583753571428572,0.01,0.08857292064390343,0.21,0.028572920643903432,SL,MomentumStrategy,2,newyork
SELL,11515,11526,1.1601567583910515,1.1593507142857142,0.01,0.8060441053372447,0.21,0.7460441053372446,SL,MomentumStrategy,2,newyork
BUY,11583,11590,1.161643509048356,1.1613514285714286,0.01,-0.2920804769273033,0.21,-0.3520804769273033,SL,MomentumStrategy,2,newyork
BUY,12361,12365,1.1619954753515387,1.1613914285714286,0.01,-0.6040467801100569,0.21,-0.6640467801100569,SL,MomentumStrategy,2,london
BUY,12366,12368,1.1614683488911026,1.1607989285714286,0.01,-0.6694203196739856,0.21,-0.7294203196739857,SL,MomentumStrategy,2,london
SELL,12437,12439,1.1603381672706143,1.1611814285714284,0.01,-0.8432613008140244,0.21,-0.9032613008140244,SL,MomentumStrategy,2,london
BUY,12480,12492,1.1609374017692624,1.1626100000000001,0.84,140.49825138196948,17.64,135.4582513819695,TP,MomentumStrategy,1,london
SELL,12609,12613,1.1642545434497167,1.164704642857143,0.01,-0.450099407426352,0.21,-0.5100994074263521,SL,MomentumStrategy,2,newyork
BUY,12662,12680,1.1627235569324101,1.1645107142857145,0.01,1.7871573533043694,0.21,1.7271573533043694,SL,MomentumStrategy,2,newyork
BUY,12689,12695,1.1639714563398977,1.164039642857143,0.01,0.06818651724516123,0.21,0.008186517245161229,SL,MomentumStrategy,2,newyork
BUY,12718,12724,1.1639631701246882,1.1629800000000001,0.01,-0.983170124688071,0.21,-1.043170124688071,SL,MomentumStrategy,2,newyork
SELL,12745,12751,1.1639260272279122,1.1637489285714286,0.01,0.17709865648352086,0.21,0.11709865648352086,SL,MomentumStrategy,2,newyork
SELL,12805,12810,1.163135523832468,1.1636639285714288,0.01,-0.5284047389606528,0.21,-0.5884047389606528,SL,MomentumStrategy,2,newyork
SELL,12812,12835,1.163653000012007,1.1635935714285714,0.01,0.05942858343566115,0.21,-0.0005714165643388447,SL,MomentumStrategy,2,newyork
SELL,12884,12906,1.1637671525128113,1.1638632142857144,0.01,-0.09606177290311102,0.21,-0.15606177290311102,SL,MomentumStrategy,2,newyork
SELL,12909,12923,1.1640907692874505,1.1636910714285713,0.9400000000000001,37.57159873464167,19.740000000000002,31.931598734641668,SL,MomentumStrategy,1,newyork
SELL,12953,12964,1.1632528574039904,1.1633414285714287,0.9500000000000001,-8.414260906640658,19.950000000000003,-14.11426090664066,SL,MomentumStrategy,1,newyork
BUY,13761,13787,1.1602437999955775,1.1613510714285713,0.01,1.1072714329938282,0.21,1.0472714329938282,SL,MomentumStrategy,2,london
SELL,13846,13850,1.159093547596402,1.1597371428571428,0.01,-0.6435952607408701,0.21,-0.7035952607408702,SL,MomentumStrategy,2,london
BUY,13904,13917,1.1617666050121953,1.1617428571428574,0.01,-0.023747869337897853,0.21,-0.08374786933789785,SL,MomentumStrategy,2,london
SELL,14063,14075,1.1615692273475968,1.1619885714285714,0.01,-0.41934408097454856,0.21,-0.47934408097454856,SL,MomentumStrategy,2,newyork
BUY,14095,14105,1.161298387043799,1.1617867857142856,0.01,0.4883986704866672,0.21,0.4283986704866672,SL,MomentumStrategy,2,newyork
BUY,14127,14133,1.1613355491421793,1.1610739285714287,0.01,-0.2616205707506314,0.21,-0.3216205707506314,SL,MomentumStrategy,2,newyork
SELL,14168,14174,1.1604178545142831,1.1607828571428571,0.01,-0.3650026285739738,0.21,-0.4250026285739738,SL,MomentumStrategy,2,newyork
SELL,14198,14205,1.1605811816186764,1.1599382142857142,0.01,0.6429673329622076,0.21,0.5829673329622076,SL,MomentumStrategy,2,newyork
SELL,14283,14285,1.1581992661059601,1.1585596428571427,0.01,-0.3603767511826117,0.21,-0.4203767511826117,SL,MomentumStrategy,2,newyork
SELL,14325,14338,1.1576022280667353,1.1578160714285712,0.01,-0.21384336183594144,0.21,-0.27384336183594143,SL,MomentumStrategy,2,newyork
SELL,14342,14346,1.1581052184049467,1.1586578571428572,0.01,-0.5526387379104492,0.21,-0.6126387379104492,SL,MomentumStrategy,2,newyork
BUY,15256,15260,1.160740727379487,1.1608271428571428,0.01,0.08641547765586566,0.21,0.02641547765586566,SL,MomentumStrategy,2,london
SELL,15283,15305,1.1612320574073705,1.1597299999999997,0.01,1.5020574073707493,0.21,1.4420574073707493,TP,MomentumStrategy,2,london
BUY,15594,15598,1.156408244008325,1.1551446428571428,0.01,-1.263601151182181,0.21,-1.323601151182181,SL,MomentumStrategy,2,newyork
BUY,15599,15608,1.1555573313753846,1.1552385714285716,0.01,-0.3187599468130742,0.21,-0.3787599468130742,SL,MomentumStrategy,2,newyork
SELL,15634,15641,1.1565369315932916,1.15611,0.01,0.4269315932916573,0.21,0.3669315932916573,SL,MomentumStrategy,2,newyork
SELL,15727,15737,1.1592018629195737,1.1594846428571428,0.01,-0.2827799375690887,0.21,-0.3427799375690887,SL,MomentumStrategy,2,newyork
BUY,15791,15807,1.1600242292995113,1.160097142857143,0.01,0.07291355763161533,0.21,0.012913557631615336,SL,MomentumStrategy,2,newyork
