direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,1075,1084,1.180026971339923,1.1796521428571427,1.25,-46.85356034753174,26.25,-54.35356034753174,SL,MomentumStrategy,0,london
BUY,1599,1609,1.178546250537761,1.1783260714285713,0.93,-20.47665715465241,19.53,-26.056657154652413,SL,MomentumStrategy,1,newyork
BUY,2519,2549,1.1794587514659185,1.18023,0.93,71.7261136695695,19.53,66.1461136695695,EOD,MomentumStrategy,1,london
BUY,2984,2990,1.1821461605369075,1.1819517857142856,1.25,-24.296852827732085,26.25,-31.796852827732085,SL,MomentumStrategy,0,newyork
BUY,5894,5898,1.1604618235607083,1.160142142857143,0.93,-29.730305431568294,19.53,-35.310305431568295,SL,MomentumStrategy,1,newyork
SELL,7166,7187,1.163751165025629,1.1635935714285714,0.93,14.656204526344752,19.53,9.076204526344751,SL,MomentumStrategy,1,newyork
BUY,7279,7286,1.1633196089783853,1.162772857142857,0.93,-50.84792070412392,19.53,-56.42792070412392,SL,MomentumStrategy,1,newyork
SELL,8215,8218,1.1597906530583684,1.1601114285714287,0.93,-29.832122714609,19.53,-35.412122714609,SL,MomentumStrategy,1,london
SELL,9866,9873,1.1562839039090156,1.1565360714285715,0.92,-23.199411799144976,19.32,-28.719411799144975,SL,MomentumStrategy,1,newyork
SELL,13998,14023,1.1613435101390281,1.1608139285714287,0.92,48.721504219146006,19.32,43.201504219146,SL,MomentumStrategy,1,london
SELL,15647,15658,1.1552940681012598,1.1548367857142856,0.92,42.0699796016244,19.32,36.54997960162439,SL,MomentumStrategy,1,newyork
BUY,15992,16000,1.1523202677644053,1.1520350000000001,0.93,-26.52990208968209,19.53,-32.10990208968209,SL,MomentumStrategy,1,newyork
SELL,17219,17224,1.1473936732015158,1.1474410714285712,0.92,-4.360636889102487,19.32,-9.880636889102487,SL,MomentumStrategy,1,newyork
