direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,12989,12990,1.1561169713399229,1.15576,0.01,-0.35697133992296237,0.21,-0.41697133992296237,SL,MomentumStrategy,1,newyork
BUY,12991,12992,1.1559362505377613,1.15562,0.01,-0.31625053776118683,0.21,-0.37625053776118683,SL,MomentumStrategy,1,newyork
SELL,14127,14128,1.1498112485340815,1.14957,0.01,0.24124853408147295,0.21,0.18124853408147296,TP,MomentumStrategy,1,london
SELL,14135,14136,1.1495838394630924,1.14934,0.01,0.2438394630923657,0.21,0.1838394630923657,TP,MomentumStrategy,1,london
