direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,794,797,1.1755269713399228,1.1755107142857142,0.9400000000000001,-1.528163095608548,19.740000000000002,-7.1681630956085485,SL,MomentumStrategy,1,london
SELL,843,848,1.1761637494622388,1.1761096428571427,0.01,0.05410660509608256,0.21,-0.005893394903917437,SL,MomentumStrategy,2,london
BUY,921,930,1.1766287514659184,1.1765807142857143,1.25,-6.004647525509332,26.25,-13.504647525509332,SL,MomentumStrategy,0,london
BUY,1057,1061,1.1768161605369076,1.1764742857142856,0.01,-0.3418748226220458,0.21,-0.4018748226220458,SL,MomentumStrategy,2,newyork
BUY,1062,1072,1.1765418235607084,1.1764385714285714,1.25,-12.90651651711383,26.25,-20.40651651711383,SL,MomentumStrategy,0,newyork
SELL,1099,1102,1.1767711650256287,1.1768289285714284,1.24,-7.1626796791592895,26.04,-14.602679679159289,SL,MomentumStrategy,0,newyork
SELL,1104,1111,1.1768603910216147,1.1766982142857143,1.24,20.10991525164396,26.04,12.669915251643962,SL,MomentumStrategy,0,newyork
SELL,1137,1140,1.1772806530583684,1.1777321428571428,0.01,-0.4514897987744071,0.21,-0.5114897987744071,SL,MomentumStrategy,2,newyork
BUY,1146,1159,1.1764760960909844,1.1758878571428573,0.01,-0.5882389481270955,0.21,-0.6482389481270956,SL,MomentumStrategy,2,newyork
SELL,1165,1180,1.176673510139028,1.176399642857143,0.01,0.273867281884943,0.21,0.21386728188494303,SL,MomentumStrategy,2,newyork
BUY,1281,1304,1.1785859318987404,1.1791817857142857,0.01,0.5958538155452775,0.21,0.5358538155452774,SL,MomentumStrategy,2,newyork
SELL,1344,1353,1.1778897322355948,1.1782253571428574,0.01,-0.3356249072625772,0.21,-0.3956249072625772,SL,MomentumStrategy,2,newyork
BUY,1468,1475,1.1788163267984841,1.1784953571428571,0.93,-29.850177973311133,19.53,-35.43017797331113,SL,MomentumStrategy,1,newyork
SELL,2125,2130,1.1820450581174655,1.1818617857142857,1.98,36.28793582960732,41.58,24.40793582960732,SL,MeanReversionStrategy,0,asian
SELL,2355,2378,1.1809425057781109,1.1798517857142856,0.01,1.0907200638252679,0.21,1.0307200638252678,SL,MomentumStrategy,2,london
SELL,2540,2544,1.1780677529259698,1.177935357142857,0.93,12.312807829485628,19.53,6.732807829485628,SL,MomentumStrategy,1,newyork
BUY,2599,2611,1.179446022031102,1.17955,0.93,9.66995110751867,19.53,4.0899511075186705,SL,MomentumStrategy,1,newyork
SELL,2650,2655,1.1799955367158061,1.1799792857142857,0.01,0.016251001520473096,0.21,-0.0437489984795269,SL,MomentumStrategy,2,newyork
BUY,2693,2698,1.180245471522834,1.1802182142857145,0.01,-0.027257237119604483,0.21,-0.08725723711960448,SL,MomentumStrategy,2,newyork
BUY,2703,2713,1.1799453249379839,1.1798939285714285,0.78,-4.008916591319522,16.380000000000003,-8.688916591319522,SL,MomentumStrategy,1,newyork
SELL,2747,2752,1.1798147090374083,1.1801307142857145,0.01,-0.316005248306217,0.21,-0.376005248306217,SL,MomentumStrategy,2,newyork
SELL,2769,2776,1.1802700930302505,1.1802485714285713,0.01,0.021521601679230784,0.21,-0.038478398320769214,SL,MomentumStrategy,2,newyork
BUY,2801,2809,1.180102012525826,1.1799775,0.88,-10.957102272689312,18.48,-16.237102272689313,SL,MomentumStrategy,1,newyork
SELL,2841,2844,1.1797672260250094,1.179944642857143,0.01,-0.17741683213357007,0.21,-0.23741683213357007,SL,MomentumStrategy,2,newyork
SELL,3661,3679,1.1780471393463896,1.177757857142857,0.01,0.289282203532526,0.21,0.22928220353252599,SL,MomentumStrategy,2,london
BUY,3747,3760,1.1785718297272556,1.17871,0.93,12.849835365221773,19.53,7.269835365221773,SL,MomentumStrategy,1,london
BUY,4032,4053,1.177139637292169,1.1773864285714284,0.01,0.24679127925941735,0.21,0.18679127925941735,SL,MomentumStrategy,2,newyork
BUY,4093,4099,1.1774398358188416,1.1771142857142858,0.01,-0.32555010455581623,0.21,-0.38555010455581623,SL,MomentumStrategy,2,newyork
SELL,4137,4139,1.1769626252816825,1.1778799999999998,0.01,-0.9173747183173209,0.21,-0.9773747183173209,SL,MomentumStrategy,2,newyork
SELL,4140,4152,1.1779548136984315,1.1776446428571428,0.01,0.31017084128870387,0.21,0.25017084128870387,SL,MomentumStrategy,2,newyork
SELL,4268,4282,1.1785346435863362,1.1787053571428572,0.01,-0.17071355652098497,0.21,-0.23071355652098496,SL,MomentumStrategy,2,newyork
SELL,5117,5125,1.1804485134106653,1.1799464285714285,1.24,62.258520065356926,26.04,54.81852006535693,SL,MomentumStrategy,0,london
SELL,5220,5227,1.1790581885954272,1.179074642857143,0.01,-0.016454261715814766,0.21,-0.07645426171581476,SL,MomentumStrategy,2,london
SELL,5373,5379,1.177736344211801,1.1781546428571428,0.01,-0.41829864534181915,0.21,-0.47829864534181915,SL,MomentumStrategy,2,newyork
SELL,5509,5518,1.1780860732811396,1.1783417857142857,0.01,-0.2557124331461491,0.21,-0.3157124331461491,SL,MomentumStrategy,2,newyork
SELL,5531,5546,1.1785673979684361,1.1788939285714286,0.01,-0.3265306029924808,0.21,-0.3865306029924808,SL,MomentumStrategy,2,newyork
BUY,5550,5566,1.1789364702332126,1.1796664285714287,0.01,0.7299583382160968,0.21,0.6699583382160967,SL,MomentumStrategy,2,newyork
BUY,5650,5654,1.1800159259876182,1.18032,0.01,0.3040740123818608,0.21,0.24407401238186083,SL,MomentumStrategy,2,newyork
SELL,5670,5675,1.1806719146549844,1.1810007142857142,0.01,-0.32879963072973695,0.21,-0.38879963072973694,SL,MomentumStrategy,2,newyork
SELL,6957,6966,1.180876132392737,1.1809635714285716,1.25,-10.929879479315563,26.25,-18.429879479315563,SL,MomentumStrategy,0,newyork
SELL,7042,7064,1.1797397714081892,1.1790932142857142,0.01,0.6465571224749667,0.21,0.5865571224749666,SL,MomentumStrategy,2,newyork
SELL,7103,7133,1.179112708780817,1.1775899999999997,0.01,1.5227087808173945,0.21,1.4627087808173944,TP,MomentumStrategy,2,newyork
SELL,7198,7205,1.1783036050862175,1.1786807142857143,0.01,-0.37710919949685007,0.21,-0.43710919949685006,SL,MomentumStrategy,2,newyork
SELL,7969,7974,1.1802205306018199,1.1805385714285714,0.01,-0.3180408267515755,0.21,-0.3780408267515755,SL,MomentumStrategy,2,london
