direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
SELL,1036,1044,1.1756330286600771,1.1761096428571427,0.9400000000000001,-44.801734524163805,19.740000000000002,-50.441734524163806,SL,MomentumStrategy,1,london
SELL,1614,1625,1.1782437494622389,1.1782135714285715,0.93,2.8065571310624815,19.53,-2.7734428689375186,SL,MomentumStrategy,1,newyork
BUY,1635,1641,1.1789187514659185,1.1789289285714286,0.8200000000000001,0.8345226518282624,17.22,-4.085477348171738,SL,MomentumStrategy,1,newyork
BUY,1645,1656,1.1798261605369076,1.1791460714285713,0.93,-63.24828707527397,19.53,-68.82828707527398,SL,MomentumStrategy,1,newyork
SELL,2321,2326,1.1820181764392916,1.1818617857142857,1.97,30.80897282617223,41.370000000000005,18.98897282617223,SL,MeanReversionStrategy,0,asian
BUY,2778,2782,1.1797488349743712,1.1794157142857142,0.93,-30.980224045099593,19.53,-36.560224045099595,SL,MomentumStrategy,1,newyork
BUY,2784,2788,1.1796596089783853,1.17948,0.92,-16.524026011438764,19.32,-22.044026011438763,SL,MomentumStrategy,1,newyork
SELL,2951,2957,1.1801306530583684,1.1800607142857142,0.92,6.434367084182213,19.32,0.9143670841822127,SL,MomentumStrategy,1,newyork
BUY,4381,4392,1.1787960960909845,1.178785357142857,0.92,-0.9879832277226441,19.32,-6.507983227722645,SL,MomentumStrategy,1,newyork
SELL,4523,4532,1.178013510139028,1.1779764285714287,1.23,4.561032814726973,25.83,-2.818967185273027,SL,MomentumStrategy,0,newyork
SELL,5372,5389,1.1791940681012596,1.1790342857142857,1.23,19.653233597789033,25.83,12.273233597789034,SL,MomentumStrategy,0,london
BUY,5811,5815,1.1804502677644053,1.180332857142857,0.92,-10.801777182438244,19.32,-16.321777182438243,SL,MomentumStrategy,1,newyork
BUY,5881,5888,1.1812763267984843,1.180945357142857,0.92,-30.449208317710585,19.32,-35.96920831771059,SL,MomentumStrategy,1,newyork
BUY,7402,7407,1.1787549418825343,1.1782278571428573,0.79,-41.63969443448279,16.590000000000003,-46.37969443448279,SL,MomentumStrategy,1,newyork
BUY,8195,8211,1.181987494221889,1.1817267857142857,0.91,-23.724474191909596,19.11,-29.184474191909597,SL,MomentumStrategy,1,london
SELL,8308,8318,1.18002775292597,1.1796775000000002,1.21,42.38060404234534,25.409999999999997,35.12060404234534,SL,MomentumStrategy,0,london
BUY,8469,8478,1.180736022031102,1.1805917857142856,0.91,-13.125504830299839,19.11,-18.58550483029984,SL,MomentumStrategy,1,newyork
SELL,8653,8656,1.1809855367158062,1.181564642857143,0.91,-52.69865886164116,19.11,-58.15865886164116,SL,MomentumStrategy,1,newyork
SELL,8657,8661,1.181514528477166,1.1813660714285714,0.91,13.509591422105283,19.11,8.049591422105284,SL,MomentumStrategy,1,newyork
BUY,8785,8788,1.1821153249379839,1.1818217857142859,0.91,-26.712069356519265,19.11,-32.172069356519266,SL,MomentumStrategy,1,newyork
SELL,9688,9698,1.1721547090374083,1.1725096428571427,0.9,-31.944043776095388,18.9,-37.34404377609539,SL,MomentumStrategy,1,london
BUY,10186,10188,1.1697899069697495,1.1695128571428572,0.9,-24.93448442030255,18.9,-30.33448442030255,SL,MomentumStrategy,1,newyork
BUY,10190,10200,1.1699220125258258,1.1700139285714286,0.9,8.27244410424921,18.9,2.87244410424921,SL,MomentumStrategy,1,newyork
BUY,11335,11339,1.1607727739749907,1.1605646428571428,0.8200000000000001,-17.06675166352767,17.22,-21.98675166352767,SL,MomentumStrategy,1,newyork
BUY,11340,11343,1.1608628606536104,1.1603192857142859,0.5700000000000001,-30.983771541499564,11.97,-34.403771541499566,SL,MomentumStrategy,1,newyork
SELL,11533,11557,1.1573681702727443,1.1576371428571428,0.54,-14.524519557519435,11.340000000000002,-17.764519557519435,SL,MomentumStrategy,1,newyork
BUY,11691,11695,1.160429637292169,1.160142142857143,0.77,-22.13707149699884,16.17,-26.75707149699884,SL,MomentumStrategy,1,newyork
BUY,11715,11728,1.1619098358188416,1.1615771428571429,0.76,-25.284665089100322,15.96,-29.844665089100324,SL,MomentumStrategy,1,newyork
BUY,12596,12603,1.1617773747183173,1.1612592857142858,0.76,-39.37476430639375,15.96,-43.93476430639375,SL,MomentumStrategy,1,london
SELL,12959,12984,1.1632648136984316,1.1635935714285714,0.88,-28.93068025230683,18.48,-34.21068025230683,SL,MomentumStrategy,1,newyork
BUY,15812,15816,1.1587153564136639,1.15814,0.77,-44.3024438521209,16.17,-48.9224438521209,SL,MomentumStrategy,1,newyork
SELL,15879,15886,1.1597885134106651,1.1594846428571428,0.66,20.055456532473315,13.86,16.095456532473314,SL,MomentumStrategy,1,newyork
BUY,18242,18244,1.1633318114045728,1.1632825,0.88,-4.339403602402925,18.48,-9.619403602402926,SL,MomentumStrategy,1,london
SELL,18290,18295,1.164086344211801,1.1647003571428571,0.87,-53.419125001882286,18.27,-58.639125001882284,SL,MomentumStrategy,1,london
BUY,18300,18315,1.1646439267188604,1.1661499999999998,0.87,131.0283754591266,18.27,125.80837545912661,TP,MomentumStrategy,1,london
BUY,18318,18324,1.1662726020315637,1.1656303571428572,0.88,-56.51755020616812,18.48,-61.79755020616812,SL,MomentumStrategy,1,london
SELL,18839,18855,1.1652435297667874,1.1645692857142858,0.88,59.33347662014122,18.48,54.05347662014122,SL,MomentumStrategy,1,newyork
BUY,18887,18894,1.1665959259876182,1.1659499999999998,0.72,-46.50667110852247,15.12,-50.82667110852247,SL,MomentumStrategy,1,newyork
SELL,21509,21518,1.1547219146549845,1.1532400000000003,0.88,130.40848963861507,18.48,125.12848963861506,TP,MomentumStrategy,1,newyork
BUY,22927,22932,1.148773867607263,1.1480057142857143,0.89,-68.36564561783165,18.689999999999998,-73.70564561783165,SL,MomentumStrategy,1,newyork
BUY,23847,23855,1.1448902285918108,1.1448271428571428,1.8800000000000001,-11.860118117575702,39.480000000000004,-23.140118117575703,SL,MeanReversionStrategy,0,asian
