direction,entry_bar,exit_bar,entry_price,exit_price,lots,gross_pnl,costs,net_pnl,exit_reason,strategy,regime,session
BUY,819,830,1.179856971339923,1.1796875,1.25,-21.18391749036941,26.25,-28.68391749036941,SL,MomentumStrategy,0,london
BUY,975,983,1.1804062505377613,1.1805157142857143,1.25,13.682968494133085,26.25,6.182968494133085,SL,MomentumStrategy,0,newyork
BUY,1227,1233,1.1789887514659185,1.1787932142857143,1.25,-24.442147525532974,26.25,-31.942147525532974,SL,MomentumStrategy,0,newyork
BUY,1238,1252,1.1789661605369075,1.1789935714285715,1.24,3.3989505663392094,26.04,-4.04104943366079,SL,MomentumStrategy,0,newyork
BUY,1268,1275,1.1785218235607082,1.177908214285714,0.93,-57.06566257446144,19.53,-62.64566257446144,SL,MomentumStrategy,1,newyork
BUY,1283,1285,1.1779288349743713,1.177787857142857,0.93,-13.110938330823663,19.53,-18.690938330823663,SL,MomentumStrategy,1,newyork
BUY,2266,2296,1.1794896089783853,1.18023,0.92,68.11597398854374,19.32,62.59597398854374,EOD,MomentumStrategy,1,london
SELL,2603,2606,1.1810106530583684,1.181564642857143,0.93,-51.52105128603068,19.53,-57.10105128603068,SL,MomentumStrategy,1,newyork
SELL,2607,2611,1.1815339039090156,1.1813660714285714,0.92,15.440588200863026,19.32,9.920588200863026,SL,MomentumStrategy,1,newyork
BUY,3847,3853,1.171946489860972,1.1719732142857144,0.93,2.4853715010522137,19.53,-3.0946284989477864,SL,MomentumStrategy,1,newyork
SELL,4135,4145,1.1693940681012598,1.169937142857143,0.93,-50.505952297139615,19.53,-56.08595229713961,SL,MomentumStrategy,1,newyork
SELL,4149,4165,1.1702297322355948,1.1698992857142858,0.92,30.40107996042618,19.32,24.88107996042618,SL,MomentumStrategy,1,newyork
BUY,4222,4236,1.1688963267984842,1.1692332142857143,0.92,30.993648825163866,19.32,25.473648825163867,SL,MomentumStrategy,1,newyork
BUY,6502,6518,1.1600149418825343,1.1600792857142856,0.93,5.983976352876175,19.53,0.4039763528761746,SL,MomentumStrategy,1,london
SELL,6913,6934,1.163752505778111,1.1635935714285714,0.93,14.780894507184561,19.53,9.200894507184561,SL,MomentumStrategy,1,newyork
SELL,6986,7005,1.1639677529259698,1.1638632142857144,0.93,9.72209354375142,19.53,4.14209354375142,SL,MomentumStrategy,1,newyork
BUY,7080,7084,1.162796022031102,1.1624789285714285,1.24,-39.3195889995086,26.04,-46.7595889995086,SL,MomentumStrategy,0,newyork
BUY,7106,7118,1.1626144632841937,1.1626653571428573,1.23,6.259944615627289,25.83,-1.1200553843727112,SL,MomentumStrategy,0,newyork
SELL,8144,8149,1.160974528477166,1.1611357142857144,0.92,-14.829094386453079,19.32,-20.34909438645308,SL,MomentumStrategy,1,newyork
SELL,12192,12199,1.163154675062016,1.1635996428571427,1.23,-54.73103880057106,25.83,-62.111038800571066,SL,MomentumStrategy,0,london
SELL,12655,12664,1.1636847090374083,1.164023214285714,0.91,-30.80397759582865,19.11,-36.26397759582865,SL,MomentumStrategy,1,newyork
BUY,12760,12766,1.1641599069697495,1.1640435714285713,0.91,-10.586534247214452,19.11,-16.046534247214453,SL,MomentumStrategy,1,newyork
SELL,12789,12805,1.165267987474174,1.1645692857142858,0.91,63.581860149834135,19.11,58.121860149834134,SL,MomentumStrategy,1,newyork
SELL,13604,13607,1.1635272260250094,1.1638896428571428,1.22,-44.21485352028087,25.62,-51.53485352028087,SL,MomentumStrategy,0,london
BUY,13639,13641,1.1637828606536103,1.1632617857142857,1.21,-63.05006765826659,25.409999999999997,-70.31006765826659,SL,MomentumStrategy,0,london
SELL,13649,13656,1.1631981702727443,1.1632642857142856,1.2,-7.93385298496041,25.2,-15.13385298496041,SL,MomentumStrategy,0,london
SELL,13981,13983,1.160040362707831,1.160332142857143,0.9,-26.260213438067392,18.9,-31.660213438067395,SL,MomentumStrategy,1,newyork
SELL,14261,14266,1.1574501641811583,1.1574503571428572,0.9,-0.017366552895747844,18.9,-5.417366552895748,SL,MomentumStrategy,1,newyork
BUY,15130,15140,1.1545873747183173,1.1545742857142858,1.2,-1.570680483782283,25.2,-8.770680483782282,SL,MomentumStrategy,0,london
BUY,15185,15191,1.1550451863015685,1.1547014285714285,1.2,-41.25092761679383,25.2,-48.450927616793834,SL,MomentumStrategy,0,london
BUY,15193,15199,1.1547353564136638,1.1547225,1.19,-1.529913225976065,24.99,-8.669913225976064,SL,MomentumStrategy,0,london
SELL,15354,15362,1.1558885134106651,1.1560182142857143,1.19,-15.4344041308494,24.99,-22.5744041308494,SL,MomentumStrategy,0,newyork
BUY,15396,15400,1.1553718114045728,1.1545667857142858,0.89,-71.64728643553886,18.689999999999998,-76.98728643553886,SL,MomentumStrategy,1,newyork
BUY,15403,15409,1.154683655788199,1.1544771428571428,0.88,-18.173137932947725,18.48,-23.453137932947726,SL,MomentumStrategy,1,newyork
BUY,15416,15423,1.1539439267188605,1.1538028571428571,0.88,-12.414122688294782,18.48,-17.694122688294783,SL,MomentumStrategy,1,newyork
SELL,15459,15468,1.1547373979684363,1.1532400000000003,0.88,131.77102122237372,18.48,126.49102122237372,TP,MomentumStrategy,1,newyork
BUY,15739,15747,1.1523364702332126,1.1520350000000001,0.89,-26.830850755910298,18.689999999999998,-32.170850755910294,SL,MomentumStrategy,1,newyork
BUY,16969,16985,1.1471659259876181,1.148045357142857,0.89,78.26937281626378,18.689999999999998,72.92937281626378,SL,MomentumStrategy,1,newyork
BUY,17797,17805,1.1448980853450155,1.1448271428571428,1.9100000000000001,-13.550015183676047,40.11,-25.010015183676046,SL,MeanReversionStrategy,0,asian
BUY,17945,17948,1.1427238676072629,1.1425053571428574,0.89,-19.447431332086264,18.689999999999998,-24.787431332086264,SL,MomentumStrategy,1,london
BUY,17958,17968,1.1426902285918108,1.1429792857142858,1.19,34.39779757451977,24.99,27.25779757451977,SL,MomentumStrategy,0,london
SELL,17973,17980,1.1432627087808171,1.1434264285714286,1.19,-19.48265508276514,24.99,-26.622655082765142,SL,MomentumStrategy,0,london
